65.87,193.88
43.33,229.37
29.47,217.09
26,66.9
5.2,38.23
31.21,167.93
6.93,90.11
99.48,308.56
26,80.55
27.73,174.76
142.13,222.55
170.68,122.88
20.8,147.46
54.62,161.11
220.43,600.75
43.33,163.84
29.26,21.84
16.72,163.84
17.33,182.95
36.4,136.53
26,65.53
35.11,215.72
33.16,241.66
53.73,147.45
5.2,10.92
17.56,136.53
17.33,101.03
26,150.19
10.4,191.15
182,529.75
15.6,182.95
19.07,163.84
23.41,121.51
19.51,150.18
5.2,21.84
17.33,32.77
69.33,327.68
135.2,357.72
13.87,191.15
5.85,128.34
15.6,125.61
10.4,65.53
149.07,292.18
10.4,212.99
31.2,166.57
26,165.2
15.6,81.92
31.2,262.14
34.67,185.68
117.04,110.59
10.4,196.61
17.33,196.61
152.53,200.7
27.73,200.7
5.2,105.13
135.2,221.18
