252,70,1
1106,750,1
919,52,3
39,45,2
28,70,3
1159,1131,2
4,449,3
31,675,2
4,1377,1
1745,1528,1
1202,795,1
2,7,1
190,459,1
1534,356,1
194,223,3
16,18,3
1068,2212,3
2,424,2
427,3640,2
779,975,2
1027,1786,3
94,1334,3
690,1,3
417,57,1
6,14,2
2382,2972,1
452,359,2
166,5,1
101,13,2
74,74,1
41,34,2
52,520,1
371,181,1
159,83,1
468,511,2
437,62,1
1018,1262,3
4,199,1
562,821,2
25,180,2
1111,263,1
44,26,2
212,5,3
166,11,1
144,198,2
18,17,1
141,11,1
1194,881,2
13,34,3
611,650,2
83,41,1
134,1,1
867,797,2
119,300,2
260,699,1
40,22,1
4,14,1
290,540,2
656,1541,1
2851,15,2
