3,142,1
7,92,3
317,950,3
51,102,1
76,23,1
67,12,3
1317,671,3
9,216,1
76,169,3
1163,384,1
976,1700,1
959,1570,3
59,1345,1
14,58,3
468,199,2
225,573,1
2,50,1
60,2104,2
16,345,1
106,57,1
298,1485,1
36,14,3
22,147,1
11,60,3
11,73,1
1049,2855,1
216,11,2
16,229,2
689,1522,3
68,809,1
264,52,2
146,145,1
23,166,1
383,1423,1
14,26,2
42,113,2
117,55,1
1533,1700,3
1181,776,1
338,939,2
483,17,2
637,477,1
13,83,1
75,16,1
871,1047,1
101,153,1
115,117,1
20,106,3
6,105,1
670,103,2
223,273,1
273,418,3
82,97,2
28,11,2
730,89,1
1394,52,1
3,5,1
965,5,2
61,10,2
20,3,1
2763,795,1
152,298,1
90,64,1
6,343,3
66,329,2
8,14,3
121,1205,2
123,198,3
46,6,2
14,18,3
34,4,2
9,11,1
27,729,3
22,2,1
171,291,1
37,17,2
689,48,2
38,278,1
924,353,1
64,77,2
