1022,833,1
132,98,1
8,147,1
52,47,2
3,16,1
389,7,1
63,827,3
403,776,1
61,84,1
123,428,2
26,26,1
69,11,2
5,581,1
34,19,1
530,378,1
16,42,3
14,26,2
499,115,1
24,13,2
55,36,2
40,447,2
876,20,1
65,3,1
1486,1486,3
3,39,2
52,111,2
1185,1525,2
125,527,3
282,11,2
34,6,2
289,1315,3
899,2039,1
116,94,3
534,1926,2
808,1162,3
151,133,1
913,22,1
1048,70,3
338,130,3
28,17,1
175,118,1
20,5,2
30,53,1
2037,185,2
486,1795,1
822,11,2
1045,1512,1
650,34,1
727,237,1
36,181,1
272,1050,1
1113,248,3
21,107,1
206,2025,3
41,141,2
596,9,1
391,543,1
1,5,1
790,1071,3
2118,552,1
11,432,3
411,129,3
111,982,1
489,90,1
744,407,1
7,8,3
16,33,1
5,13,2
65,10,1
488,225,3
420,671,2
266,1144,1
23,687,2
171,223,3
37,34,2
1203,111,1
9,52,1
86,34,1
663,646,1
75,174,1
118,9,2
2,18,1
9,15,1
9,24,1
60,23,1
473,172,1
296,1100,2
33,169,1
83,190,1
87,20,2
917,39,2
411,280,3
1567,1164,1
89,281,2
155,681,1
5,7,1
422,45,3
72,27,2
84,61,1
338,132,3
135,770,3
274,425,1
39,183,2
328,86,2
8,364,1
312,792,2
73,20,1
829,327,1
525,309,2
89,19,2
837,845,3
54,729,1
1076,3284,1
497,153,2
615,635,3
15,93,1
286,86,1
42,15,2
2124,805,3
22,107,1
62,469,3
138,226,2
564,986,1
23,493,2
885,509,1
32,15,1
309,963,1
3062,1560,2
1,47,1
91,143,2
843,243,1
187,47,1
1011,361,2
75,20,3
813,98,2
477,184,1
53,233,2
1695,188,2
142,1256,1
1053,87,2
68,99,3
40,682,1
329,1514,1
200,166,2
125,9,2
13,80,1
18,9,3
50,6,1
230,157,1
63,399,1
126,16,3
31,58,2
114,17,3
23,8,2
1476,244,1
553,595,2
1490,104,1
56,342,3
26,73,1
4,17,3
27,12,1
525,24,1
1029,12,2
55,33,1
44,795,2
3,62,2
12,24,1
2899,195,1
29,20,2
23,631,2
47,131,3
28,18,1
87,480,1
81,161,1
145,1828,1
1875,397,1
16,378,3
45,13,1
85,20,3
159,277,1
340,799,3
154,85,2
146,17,1
218,44,3
32,64,1
49,64,2
595,1308,1
100,778,2
163,225,1
40,511,2
264,1376,2
11,503,1
364,259,2
120,825,1
1288,157,2
40,52,3
455,1765,2
68,755,2
160,17,2
554,482,1
155,147,1
250,788,1
784,147,1
519,542,1
330,61,3
272,825,1
1157,1661,1
54,129,1
861,183,2
74,244,2
1197,744,3
1514,182,1
687,2456,2
304,1098,1
9,2,1
88,997,1
269,605,3
1037,1324,1
208,1524,2
32,379,2
14,43,1
2,7,2
244,44,2
1,28,1
2,12,1
178,443,2
799,106,3
206,495,3
112,122,2
107,403,3
751,787,3
1072,501,2
91,43,3
396,3437,3
1617,392,1
33,136,2
1016,1291,1
80,187,3
27,200,2
419,148,3
282,1479,2
698,18,1
37,29,2
60,12,1
617,270,3
370,28,1
715,300,3
114,886,1
180,390,1
99,321,1
277,18,2
280,976,1
698,1399,2
17,17,1
11,16,1
195,197,2
169,45,3
670,708,3
279,387,1
1618,148,1
14,64,3
188,14,3
397,960,2
39,60,2
1,171,2
103,51,1
17,99,1
1011,1133,3
304,664,3
436,181,2
6,258,2
1957,1946,3
1369,224,1
1057,298,1
42,33,2
32,107,2
4,2001,3
2113,447,3
6,4,3
77,803,3
23,46,3
591,37,2
13,1261,3
7,24,2
23,252,2
22,21,3
176,493,1
7,932,1
37,118,1
20,1054,1
84,1073,1
41,44,1
12,7,1
3,89,2
133,1139,2
276,343,3
667,2102,1
5,1,3
143,1532,1
63,422,1
13,48,1
10,25,1
2309,842,3
434,76,3
1127,103,1
275,267,1
22,7,2
143,328,3
143,356,2
233,11,1
11,82,1
604,3675,2
68,7,2
46,117,2
8,31,1
524,14,3
38,24,3
463,91,1
45,7,2
66,986,3
47,11,3
88,124,2
121,10,3
36,24,1
741,487,3
384,531,3
93,72,1
2280,134,2
91,42,2
415,167,1
232,46,1
294,31,2
87,2,1
350,858,3
2273,15,2
146,568,1
777,51,1
216,488,1
2476,625,1
14,21,1
8,1060,1
13,315,1
9,31,1
866,1647,1
40,85,1
476,132,1
238,803,2
735,970,2
269,75,2
27,60,3
393,10,3
96,832,3
37,68,1
31,216,2
30,833,3
890,68,3
160,17,3
535,296,2
24,195,1
349,1215,2
45,50,2
71,51,1
32,1924,3
113,263,2
165,744,1
1095,1054,2
43,298,2
29,152,3
874,765,1
93,10,2
5,32,3
13,21,1
367,11,1
11,2,3
51,18,3
1144,647,1
220,87,3
54,80,2
222,55,3
218,4,1
2,99,3
427,187,2
41,55,1
526,1204,2
22,16,1
8,4,3
860,75,1
13,96,2
733,3,1
2250,439,2
1,85,1
30,206,1
26,41,1
16,39,2
26,18,1
47,747,1
92,27,3
39,143,1
34,1141,1
1147,380,2
110,92,1
27,126,1
32,1,3
174,685,3
263,505,1
373,147,2
14,240,1
10,12,3
510,486,1
171,514,3
54,303,1
783,53,3
2226,1150,1
9,8,1
761,51,3
41,75,1
231,105,1
221,120,1
148,64,1
9,83,3
11,97,2
20,346,1
541,13,1
5,17,1
50,36,1
576,678,2
3,134,1
154,401,3
208,273,2
126,43,1
1341,766,1
567,482,1
139,2202,1
64,681,1
34,241,2
59,2,2
434,280,1
756,117,2
50,54,1
641,1516,3
212,340,1
1237,85,3
231,776,2
941,340,2
2949,174,1
535,2369,3
9,40,2
16,22,2
91,32,2
1721,187,2
36,1019,2
970,1158,1
87,547,3
1803,2332,1
134,598,1
143,244,3
31,9,3
843,1008,1
746,261,2
158,407,1
74,21,1
40,1,3
41,59,1
170,692,1
96,11,1
2,2,3
474,483,1
625,1094,1
47,70,1
1159,1920,1
943,608,3
12,1283,1
20,202,3
19,95,1
4,125,2
815,689,1
29,19,1
60,735,1
42,14,1
19,97,2
82,183,1
1565,156,3
15,110,1
1207,609,3
1,25,2
