29.47,120.15
38.13,202.07
29.47,199.34
239.2,649.9
79.98,330.41
5.85,76.46
13.65,159.74
62.4,288.08
325.76,524.29
24.27,139.26
21.46,189.78
55.47,217.09
20.8,189.78
140.4,210.26
674.93,322.22
36.4,177.49
26,81.92
9.75,170.66
26,166.57
159.95,348.16
19.07,144.72
27.73,170.67
136.93,391.85
12.13,125.61
7.8,135.17
26,238.93
12.13,144.72
26,163.84
31.2,182.95
1.73,84.65
22.53,330.41
26,76.46
31.2,223.91
29.47,172.03
32.93,16.38
27.73,150.19
32.93,163.84
136.55,554.32
26,147.45
31.2,126.97
29.26,65.54
113.14,380.93
17.56,196.61
119.6,356.35
26,113.32
252.57,936.23
9.75,131.07
6.93,180.22
21.46,219.82
29.47,159.74
131.73,218.45
5.2,10.92
33.16,197.97
10.4,49.15
15.6,226.64
35.11,176.13
56.57,163.84
45.07,98.3
117.04,129.71
8.67,223.91
3.9,65.53
3.47,91.48
6.93,166.57
52,311.3
31.2,212.99
68.27,389.12
251.64,339.97
57.2,249.85
26,91.48
518.27,1146.88
29.47,172.03
25.07,146.28
10.4,223.91
3.47,24.57
104,262.14
6.93,125.61
52,191.15
10.4,51.88
3.47,163.84
20.8,143.36
31.2,184.32
26,188.41
146.3,266.24
31.2,258.05
20.8,155.65
24.27,187.05
26,114.69
109.2,1108.65
76.27,322.22
26,178.86
120.94,133.8
31.2,144.72
17.33,117.42
21.46,184.32
45.07,228.01
247.73,380.93
31.2,185.68
36.4,65.53
13.65,163.84
45.07,290.81
5.85,155.65
31.2,204.8
35.11,173.39
36.4,299.01
120.94,113.32
1544.93,983.04
29.47,188.41
33.16,10.92
78,360.45
255.54,447.83
86.67,671.74
74.13,372.73
43.33,299.01
448.93,1267.03
27.73,225.28
117.04,162.47
31.2,176.13
26,262.14
115.09,376.83
26,72.36
5.85,154.28
31.2,210.26
132.65,364.54
31.2,253.95
29.26,102.4
19.07,178.86
36.4,152.92
62.4,318.12
36.4,174.76
288.7,651.26
674.93,303.1
58.93,251.22
19.51,184.32
156,644.44
6.93,32.77
10.4,240.3
17.56,187.05
292.93,567.98
31.2,278.53
62.42,349.52
95.58,360.45
198.97,622.59
104,1114.11
358.92,505.17
5.85,87.38
60.47,167.93
13.65,133.8
72.17,626.69
58.52,169.3
17.33,151.55
26,75.09
17.56,147.46
26,136.53
206.77,475.13
36.4,180.22
299.87,715.43
104,983.04
240.93,693.59
138.67,181.59
26,66.9
31.2,128.34
29.47,173.39
27.73,249.85
27.73,289.45
29.47,193.88
1.73,49.15
23.41,240.3
19.07,131.07
12.13,117.42
10.4,92.84
54.62,165.2
24.27,139.26
26,73.73
13.87,184.32
13.87,131.07
344.93,649.9
29.47,223.91
131.73,357.71
20.8,193.88
87.78,321.53
26,76.46
29.26,21.84
28.8,143.36
9.75,159.74
170.68,122.88
10.4,109.23
175.56,380.93
140.45,354.98
87.78,385.02
87.78,395.94
204.82,409.6
10.4,65.53
19.07,180.22
26,73.73
263.47,1168.72
146.3,266.24
41.6,180.22
68.27,338.6
10.4,81.92
15.61,131.07
